,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,1320.4976468999998,1264.9742651985664,1370.067109993737,1320.4976468999998,1320.4976468999998,-4.651767878074082,-4.651767878074082,-4.651767878074082,6.90393757646281,6.90393757646281,6.90393757646281,-11.555705454536893,-11.555705454536893,-11.555705454536893,0.0,0.0,0.0,1315.8458790219258
1,2019-01-03,1320.5116664589175,1259.1600870723967,1374.947653711444,1320.5116664589175,1320.5116664589175,-4.43425612446634,-4.43425612446634,-4.43425612446634,7.682202332999539,7.682202332999539,7.682202332999539,-12.11645845746588,-12.11645845746588,-12.11645845746588,0.0,0.0,0.0,1316.077410334451
2,2019-01-04,1320.525686017835,1261.9474523008737,1373.496007116328,1320.525686017835,1320.525686017835,-4.860079961987085,-4.860079961987085,-4.860079961987085,7.8433741025246695,7.8433741025246695,7.8433741025246695,-12.703454064511755,-12.703454064511755,-12.703454064511755,0.0,0.0,0.0,1315.6656060558478
3,2019-01-07,1320.5677446945876,1257.37926407676,1365.0225868240623,1320.5677446945876,1320.5677446945876,-9.494149196459105,-9.494149196459105,-9.494149196459105,4.97996720286372,4.97996720286372,4.97996720286372,-14.474116399322824,-14.474116399322824,-14.474116399322824,0.0,0.0,0.0,1311.0735954981285
4,2019-01-08,1320.581764253505,1250.949707949577,1368.5419863312643,1320.581764253505,1320.581764253505,-8.058342679010531,-8.058342679010531,-8.058342679010531,6.967548617922779,6.967548617922779,6.967548617922779,-15.02589129693331,-15.02589129693331,-15.02589129693331,0.0,0.0,0.0,1312.5234215744945
5,2019-01-09,1320.5957838124227,1255.8403207756544,1364.7005509934331,1320.5957838124227,1320.5957838124227,-8.638744348306883,-8.638744348306883,-8.638744348306883,6.903937576464148,6.903937576464148,6.903937576464148,-15.542681924771031,-15.542681924771031,-15.542681924771031,0.0,0.0,0.0,1311.957039464116
6,2019-01-10,1320.6098033713404,1251.3529210370234,1368.3497383143342,1320.6098033713404,1320.6098033713404,-8.336459505742972,-8.336459505742972,-8.336459505742972,7.682202332987534,7.682202332987534,7.682202332987534,-16.018661838730505,-16.018661838730505,-16.018661838730505,0.0,0.0,0.0,1312.2733438655973
7,2019-01-11,1320.6238229302578,1257.468251340565,1370.4346311215963,1320.6238229302578,1320.6238229302578,-8.60729937563174,-8.60729937563174,-8.60729937563174,7.8433741025088946,7.8433741025088946,7.8433741025088946,-16.450673478140637,-16.450673478140637,-16.450673478140637,0.0,0.0,0.0,1312.016523554626
8,2019-01-14,1320.6658816070105,1253.716504995141,1365.7422846240875,1320.6658816070105,1320.6658816070105,-12.512168437530484,-12.512168437530484,-12.512168437530484,4.979967202880725,4.979967202880725,4.979967202880725,-17.49213564041121,-17.49213564041121,-17.49213564041121,0.0,0.0,0.0,1308.15371316948
9,2019-01-15,1320.679901165928,1250.3797926139741,1366.0171859295342,1320.679901165928,1320.679901165928,-10.803016414694024,-10.803016414694024,-10.803016414694024,6.967548617938819,6.967548617938819,6.967548617938819,-17.770565032632845,-17.770565032632845,-17.770565032632845,0.0,0.0,0.0,1309.876884751234
10,2019-01-16,1320.6939207248454,1254.941159776069,1364.8330711660785,1320.6939207248454,1320.6939207248454,-11.124621497167984,-11.124621497167984,-11.124621497167984,6.903937576460304,6.903937576460304,6.903937576460304,-18.028559073628287,-18.028559073628287,-18.028559073628287,0.0,0.0,0.0,1309.5692992276774
11,2019-01-17,1320.707940283763,1249.74510391874,1366.8484293958259,1320.707940283763,1320.707940283763,-10.59517275687669,-10.59517275687669,-10.59517275687669,7.682202332993353,7.682202332993353,7.682202332993353,-18.27737508987004,-18.27737508987004,-18.27737508987004,0.0,0.0,0.0,1310.1127675268863
12,2019-01-18,1320.7219598426807,1252.1347451009149,1367.658428612904,1320.7219598426807,1320.7219598426807,-10.686296832923906,-10.686296832923906,-10.686296832923906,7.843374102493117,7.843374102493117,7.843374102493117,-18.529670935417023,-18.529670935417023,-18.529670935417023,0.0,0.0,0.0,1310.0356630097567
13,2019-01-21,1320.7640185194334,1248.4294740687724,1363.5812513104722,1320.7640185194334,1320.7640185194334,-14.465365031313635,-14.465365031313635,-14.465365031313635,4.979967202844301,4.979967202844301,4.979967202844301,-19.445332234157934,-19.445332234157934,-19.445332234157934,0.0,0.0,0.0,1306.2986534881197
14,2019-01-22,1320.7780380783508,1252.0092518164242,1361.2987790471825,1320.7780380783508,1320.7780380783508,-12.882186106867142,-12.882186106867142,-12.882186106867142,6.967548617932234,6.967548617932234,6.967548617932234,-19.849734724799376,-19.849734724799376,-19.849734724799376,0.0,0.0,0.0,1307.8958519714838
15,2019-01-23,1320.7920576372683,1252.1849929365676,1363.9417956383074,1320.7920576372683,1320.7920576372683,-13.4212926008978,-13.4212926008978,-13.4212926008978,6.9039375764576345,6.9039375764576345,6.9039375764576345,-20.325230177355436,-20.325230177355436,-20.325230177355436,0.0,0.0,0.0,1307.3707650363704
